id;jhi_date;amount;is_smoothed;is_recurrent;budget_item_id;month
1;NULL;-33.33333333;1;1;1;2012-10-01
2;NULL;-33.33333333;1;1;1;2012-11-01
3;NULL;-33.33333333;1;1;1;2012-12-01
4;NULL;-33.33333333;1;1;1;2013-01-01
5;NULL;-33.33333333;1;1;1;2013-02-01
6;NULL;-33.33333333;1;1;1;2013-03-01
7;NULL;-33.33333333;1;1;1;2013-04-01
8;NULL;-33.33333333;1;1;1;2013-05-01
9;NULL;-33.33333333;1;1;1;2013-06-01
10;NULL;-33.33333333;1;1;1;2013-07-01
11;NULL;-33.33333333;1;1;1;2013-08-01
12;NULL;-33.33333333;1;1;1;2013-09-01
13;NULL;-33.33333333;1;1;1;2013-10-01
14;NULL;-33.33333333;1;1;1;2013-11-01
15;NULL;-33.33333333;1;1;1;2013-12-01
16;NULL;-33.33333333;1;1;1;2014-01-01
17;NULL;-33.33333333;1;1;1;2014-02-01
18;NULL;-33.33333333;1;1;1;2014-03-01
19;NULL;-33.33333333;1;1;1;2014-04-01
20;NULL;-33.33333333;1;1;1;2014-05-01
21;NULL;-33.33333333;1;1;1;2014-06-01
22;NULL;-33.33333333;1;1;1;2014-07-01
23;NULL;-33.33333333;1;1;1;2014-08-01
24;NULL;-33.33333333;1;1;1;2014-09-01
25;NULL;-33.33333333;1;1;1;2014-10-01
26;NULL;-33.33333333;1;1;1;2014-11-01
27;NULL;-33.33333333;1;1;1;2014-12-01
28;NULL;-33.33333333;1;1;1;2015-01-01
29;NULL;-33.33333333;1;1;1;2015-02-01
30;NULL;-33.33333333;1;1;1;2015-03-01
31;NULL;-33.33333333;1;1;1;2015-04-01
32;NULL;-33.33333333;1;1;1;2015-05-01
33;NULL;-33.33333333;1;1;1;2015-06-01
34;NULL;-33.33333333;1;1;1;2015-07-01
35;NULL;-33.33333333;1;1;1;2015-08-01
36;NULL;-33.33333333;1;1;1;2015-09-01
37;NULL;-33.33333333;1;1;1;2015-10-01
38;NULL;-33.33333333;1;1;1;2015-11-01
39;NULL;-33.33333333;1;1;1;2015-12-01
40;NULL;-33.33333333;1;1;1;2016-01-01
41;NULL;-33.33333333;1;1;1;2016-02-01
42;NULL;-33.33333333;1;1;1;2016-03-01
43;NULL;-33.33333333;1;1;1;2016-04-01
44;NULL;-33.33333333;1;1;1;2016-05-01
45;NULL;-33.33333333;1;1;1;2016-06-01
46;NULL;-33.33333333;1;1;1;2016-07-01
47;NULL;-33.33333333;1;1;1;2016-08-01
48;NULL;-33.33333333;1;1;1;2016-09-01
49;NULL;-33.33333333;1;1;1;2016-10-01
50;NULL;-33.33333333;1;1;1;2016-11-01
51;NULL;-33.33333333;1;1;1;2016-12-01
52;NULL;-33.33333333;1;1;1;2017-01-01
53;NULL;-33.33333333;1;1;1;2017-02-01
54;NULL;-33.33333333;1;1;1;2017-03-01
55;NULL;-33.33333333;1;1;1;2017-04-01
56;NULL;-33.33333333;1;1;1;2017-05-01
57;NULL;-33.33333333;1;1;1;2017-06-01
58;NULL;-33.33333333;1;1;1;2017-07-01
59;NULL;-33.33333333;1;1;1;2017-08-01
60;NULL;-33.33333333;1;1;1;2017-09-01
61;NULL;-33.33333333;1;1;1;2017-10-01
62;NULL;-33.33333333;1;1;1;2017-11-01
63;NULL;-33.33333333;1;1;1;2017-12-01
64;NULL;-33.33333333;1;1;1;2018-01-01
65;NULL;-33.33333333;1;1;1;2018-02-01
66;NULL;-33.33333333;1;1;1;2018-03-01
67;NULL;-33.33333333;1;1;1;2018-04-01
68;NULL;-33.33333333;1;1;1;2018-05-01
69;NULL;-33.33333333;1;1;1;2018-06-01
70;NULL;-33.33333333;1;1;1;2018-07-01
71;NULL;-33.33333333;1;1;1;2018-08-01
72;NULL;-33.33333333;1;1;1;2018-09-01
73;NULL;-33.33333333;1;1;1;2018-10-01
74;NULL;-33.33333333;1;1;1;2018-11-01
75;NULL;-33.33333333;1;1;1;2018-12-01
76;NULL;-33.33333333;1;1;1;2019-01-01
77;NULL;-33.33333333;1;1;1;2019-02-01
78;NULL;-33.33333333;1;1;1;2019-03-01
79;NULL;-33.33333333;1;1;1;2019-04-01
80;NULL;-33.33333333;1;1;1;2019-05-01
81;NULL;-33.33333333;1;1;1;2019-06-01
82;NULL;-33.33333333;1;1;1;2019-07-01
83;NULL;-33.33333333;1;1;1;2019-08-01
84;NULL;-33.33333333;1;1;1;2019-09-01
85;NULL;-33.33333333;1;1;1;2019-10-01
86;NULL;-33.33333333;1;1;1;2019-11-01
87;NULL;-33.33333333;1;1;1;2019-12-01
88;NULL;-33.33333333;1;1;1;2020-01-01
89;NULL;-33.33333333;1;1;1;2020-02-01
90;NULL;-33.33333333;1;1;1;2020-03-01
91;NULL;-33.33333333;1;1;1;2020-04-01
92;NULL;-33.33333333;1;1;1;2020-05-01
93;NULL;-33.33333333;1;1;1;2020-06-01
94;NULL;-33.33333333;1;1;1;2020-07-01
95;NULL;-33.33333333;1;1;1;2020-08-01
96;NULL;-33.33333333;1;1;1;2020-09-01
97;NULL;-33.33333333;1;1;1;2020-10-01
98;NULL;-33.33333333;1;1;1;2020-11-01
99;NULL;-33.33333333;1;1;1;2020-12-01
100;NULL;-33.33333333;1;1;1;2021-01-01
101;NULL;-33.33333333;1;1;1;2021-02-01
102;NULL;-33.33333333;1;1;1;2021-03-01
103;NULL;-33.33333333;1;1;1;2021-04-01
104;NULL;-33.33333333;1;1;1;2021-05-01
105;NULL;-33.33333333;1;1;1;2021-06-01
106;NULL;-33.33333333;1;1;1;2021-07-01
107;NULL;-33.33333333;1;1;1;2021-08-01
108;NULL;-33.33333333;1;1;1;2021-09-01
109;NULL;-33.33333333;1;1;1;2021-10-01
110;NULL;-33.33333333;1;1;1;2021-11-01
111;NULL;-33.33333333;1;1;1;2021-12-01
112;NULL;-33.33333333;1;1;1;2022-01-01
113;NULL;-33.33333333;1;1;1;2022-02-01
114;NULL;-33.33333333;1;1;1;2022-03-01
115;NULL;-33.33333333;1;1;1;2022-04-01
116;NULL;-33.33333333;1;1;1;2022-05-01
117;NULL;-33.33333333;1;1;1;2022-06-01
118;NULL;-33.33333333;1;1;1;2022-07-01
119;NULL;-33.33333333;1;1;1;2022-08-01
120;NULL;-33.33333333;1;1;1;2022-09-01
121;NULL;-33.33333333;1;1;1;2022-10-01
122;NULL;-33.33333333;1;1;1;2022-11-01
123;NULL;-33.33333333;1;1;1;2022-12-01
124;NULL;-33.33333333;1;1;1;2023-01-01
125;NULL;-33.33333333;1;1;1;2023-02-01
126;NULL;-33.33333333;1;1;1;2023-03-01
127;NULL;-33.33333333;1;1;1;2023-04-01
128;NULL;-33.33333333;1;1;1;2023-05-01
129;NULL;-33.33333333;1;1;1;2023-06-01
130;NULL;-33.33333333;1;1;1;2023-07-01
131;NULL;-33.33333333;1;1;1;2023-08-01
132;NULL;-33.33333333;1;1;1;2023-09-01
133;NULL;-33.33333333;1;1;1;2023-10-01
134;NULL;-33.33333333;1;1;1;2023-11-01
135;NULL;-33.33333333;1;1;1;2023-12-01
136;NULL;-33.33333333;1;1;1;2024-01-01
137;NULL;-33.33333333;1;1;1;2024-02-01
138;NULL;-33.33333333;1;1;1;2024-03-01
139;NULL;-33.33333333;1;1;1;2024-04-01
140;NULL;-33.33333333;1;1;1;2024-05-01
141;NULL;-33.33333333;1;1;1;2024-06-01
142;NULL;-33.33333333;1;1;1;2024-07-01
143;NULL;-33.33333333;1;1;1;2024-08-01
144;NULL;-33.33333333;1;1;1;2024-09-01
145;NULL;-33.33333333;1;1;1;2024-10-01
146;NULL;-33.33333333;1;1;1;2024-11-01
147;NULL;-33.33333333;1;1;1;2024-12-01
148;NULL;-33.33333333;1;1;1;2025-01-01
149;NULL;-33.33333333;1;1;1;2025-02-01
150;NULL;-33.33333333;1;1;1;2025-03-01
151;NULL;-33.33333333;1;1;1;2025-04-01
152;NULL;-33.33333333;1;1;1;2025-05-01
153;NULL;-33.33333333;1;1;1;2025-06-01
154;NULL;-33.33333333;1;1;1;2025-07-01
155;NULL;-33.33333333;1;1;1;2025-08-01
156;NULL;-33.33333333;1;1;1;2025-09-01
157;NULL;-33.33333333;1;1;1;2025-10-01
158;NULL;-33.33333333;1;1;1;2025-11-01
159;NULL;-33.33333333;1;1;1;2025-12-01
160;NULL;-33.33333333;1;1;1;2026-01-01
161;NULL;-33.33333333;1;1;1;2026-02-01
162;NULL;-33.33333333;1;1;1;2026-03-01
163;NULL;-33.33333333;1;1;1;2026-04-01
164;NULL;-33.33333333;1;1;1;2026-05-01
165;NULL;-33.33333333;1;1;1;2026-06-01
166;NULL;-33.33333333;1;1;1;2026-07-01
167;NULL;-33.33333333;1;1;1;2026-08-01
168;NULL;-33.33333333;1;1;1;2026-09-01
169;NULL;-33.33333333;1;1;1;2026-10-01
170;NULL;-33.33333333;1;1;1;2026-11-01
171;NULL;-33.33333333;1;1;1;2026-12-01
172;NULL;-33.33333333;1;1;1;2027-01-01
173;NULL;-33.33333333;1;1;1;2027-02-01
174;NULL;-33.33333333;1;1;1;2027-03-01
175;NULL;-33.33333333;1;1;1;2027-04-01
176;NULL;-33.33333333;1;1;1;2027-05-01
177;NULL;-33.33333333;1;1;1;2027-06-01
178;NULL;-33.33333333;1;1;1;2027-07-01
179;NULL;-33.33333333;1;1;1;2027-08-01
180;NULL;-33.33333333;1;1;1;2027-09-01
181;NULL;-33.33333333;1;1;1;2027-10-01
182;NULL;-33.33333333;1;1;1;2027-11-01
183;NULL;-33.33333333;1;1;1;2027-12-01
184;NULL;-33.33333333;1;1;1;2028-01-01
185;NULL;-33.33333333;1;1;1;2028-02-01
186;NULL;-33.33333333;1;1;1;2028-03-01
187;NULL;-33.33333333;1;1;1;2028-04-01
188;NULL;-33.33333333;1;1;1;2028-05-01
189;NULL;-33.33333333;1;1;1;2028-06-01
190;NULL;-33.33333333;1;1;1;2028-07-01
191;NULL;-33.33333333;1;1;1;2028-08-01
192;NULL;-33.33333333;1;1;1;2028-09-01
193;NULL;-33.33333333;1;1;1;2028-10-01
194;NULL;-33.33333333;1;1;1;2028-11-01
195;NULL;-33.33333333;1;1;1;2028-12-01
196;NULL;-33.33333333;1;1;1;2029-01-01
197;NULL;-33.33333333;1;1;1;2029-02-01
198;NULL;-33.33333333;1;1;1;2029-03-01
199;NULL;-33.33333333;1;1;1;2029-04-01
200;NULL;-33.33333333;1;1;1;2029-05-01
201;NULL;-33.33333333;1;1;1;2029-06-01
202;NULL;-33.33333333;1;1;1;2029-07-01
203;NULL;-33.33333333;1;1;1;2029-08-01
204;NULL;-33.33333333;1;1;1;2029-09-01
205;NULL;-33.33333333;1;1;1;2029-10-01
206;NULL;-33.33333333;1;1;1;2029-11-01
207;NULL;-33.33333333;1;1;1;2029-12-01
208;NULL;-33.33333333;1;1;1;2030-01-01
209;NULL;-33.33333333;1;1;1;2030-02-01
210;NULL;-33.33333333;1;1;1;2030-03-01
211;NULL;-33.33333333;1;1;1;2030-04-01
212;NULL;-33.33333333;1;1;1;2030-05-01
213;NULL;-33.33333333;1;1;1;2030-06-01
214;NULL;-33.33333333;1;1;1;2030-07-01
215;NULL;-33.33333333;1;1;1;2030-08-01
216;NULL;-33.33333333;1;1;1;2030-09-01
217;NULL;-33.33333333;1;1;1;2030-10-01
218;NULL;-33.33333333;1;1;1;2030-11-01
219;NULL;-33.33333333;1;1;1;2030-12-01
220;NULL;-33.33333333;1;1;1;2031-01-01
221;NULL;-33.33333333;1;1;1;2031-02-01
222;NULL;-33.33333333;1;1;1;2031-03-01
223;NULL;-33.33333333;1;1;1;2031-04-01
224;NULL;-33.33333333;1;1;1;2031-05-01
225;NULL;-33.33333333;1;1;1;2031-06-01
226;NULL;-33.33333333;1;1;1;2031-07-01
227;NULL;-33.33333333;1;1;1;2031-08-01
228;NULL;-33.33333333;1;1;1;2031-09-01
229;NULL;-33.33333333;1;1;1;2031-10-01
230;NULL;-33.33333333;1;1;1;2031-11-01
231;NULL;-33.33333333;1;1;1;2031-12-01
232;NULL;-33.33333333;1;1;1;2032-01-01
233;NULL;-33.33333333;1;1;1;2032-02-01
234;NULL;-33.33333333;1;1;1;2032-03-01
235;NULL;-33.33333333;1;1;1;2032-04-01
236;NULL;-33.33333333;1;1;1;2032-05-01
237;NULL;-33.33333333;1;1;1;2032-06-01
238;NULL;-33.33333333;1;1;1;2032-07-01
239;NULL;-33.33333333;1;1;1;2032-08-01
240;NULL;-33.33333333;1;1;1;2032-09-01
